trip_miles,trip_seconds,fare,company,payment_type,tip_rate
2.57,2341,31.99,Flash Cab,Mobile,6.3
1.18,1074,9.75,Flash Cab,Credit Card,27.9
1.29,1173,10.25,Sun Taxi,Cash,0.0
3.7,3360,23.75,Choice Taxi Association,Cash,0.0
1.15,1044,10.0,Flash Cab,Cash,0.0
1.38,1251,11.0,Flash Cab,Credit Card,27.3
2.0,1813,14.5,Sun Taxi,Cash,0.0
2.05,1857,14.75,Sun Taxi,Credit Card,25.8
0.87,787,8.0,City Service,Cash,0.0
1.55,1399,17.88,Flash Cab,Mobile,23.0
4.37,3934,30.25,Flash Cab,Prcard,0.0
0.6,540,6.5,Taxi Affiliation Services,Cash,0.0
0.8,720,7.5,Top Cab Affiliation,Credit Card,26.7
0.8,720,7.5,Globe Taxi,Cash,0.0
0.6,540,6.75,Taxi Affiliation Services,Unknown,0.0
1.35,1207,10.75,City Service,Credit Card,27.9
1.45,1295,8.25,Blue Ribbon Taxi Association,Cash,0.0
2.97,2646,20.5,Flash Cab,Cash,0.0
1.79,1593,9.0,City Service,Cash,0.0
0.79,702,7.5,City Service,Credit Card,40.0
1.39,1235,11.5,Medallion Leasin,Cash,0.0
0.52,462,6.0,Flash Cab,Credit Card,66.7
1.0,888,9.0,Taxicab Insurance Agency Llc,Cash,0.0
1.01,896,9.0,Flash Cab,Cash,0.0
1.8,1594,14.75,Taxicab Insurance Agency Llc,Cash,0.0
0.6,531,9.0,Flash Cab,Mobile,17.2
7.14,6317,48.5,Flash Cab,Prcard,0.0
3.91,3453,26.5,Flash Cab,Prcard,0.0
1.7,1500,12.5,Choice Taxi Association,Cash,0.0
4.0,3509,26.5,24 Seven Taxi,Prcard,0.0
2.4,2100,16.75,Taxi Affiliation Services,Credit Card,25.7
0.84,734,8.0,Taxicab Insurance Agency Llc,Cash,0.0
0.83,725,7.75,Medallion Leasin,Cash,0.0
2.97,2585,21.25,Blue Ribbon Taxi Association,Prcard,0.0
1.85,1607,13.5,Medallion Leasin,Cash,0.0
0.9,780,8.25,Taxi Affiliation Services,Cash,0.0
0.57,492,6.25,Sun Taxi,Cash,0.0
0.62,534,6.5,Flash Cab,Credit Card,46.2
3.54,3043,23.25,Taxicab Insurance Agency Llc,Cash,0.0
1.35,1157,10.75,Flash Cab,Cash,0.0
1.57,1345,12.0,Flash Cab,Credit Card,16.7
5.47,4679,35.75,Flash Cab,Prcard,0.0
1.16,992,9.5,Taxicab Insurance Agency Llc,Credit Card,0.0
0.6,512,6.25,Flash Cab,Credit Card,64.0
1.9,1620,14.0,Taxi Affiliation Services,Cash,0.0
0.98,834,8.5,Flash Cab,Credit Card,47.1
1.72,1462,13.0,Flash Cab,Prcard,0.0
3.87,3285,25.75,Flash Cab,Prcard,0.0
2.9,2460,18.75,Taxi Affiliation Services,Cash,0.0
2.46,2086,17.75,Flash Cab,Cash,0.0
3.75,3170,27.75,Patriot Taxi Dba Peace Taxi Associat,Prcard,0.0
4.55,3840,31.0,Flash Cab,Prcard,0.0
1.06,894,9.0,Star North Taxi Management Llc,Prcard,0.0
0.67,564,6.75,Globe Taxi,Credit Card,44.4
1.56,1312,11.75,Medallion Leasin,Cash,0.0
1.0,840,8.5,Taxi Affiliation Services,Credit Card,23.5
0.5,420,5.5,Choice Taxi Association,Cash,0.0
0.5,420,6.0,Top Cab Affiliation,Cash,0.0
1.0,840,8.5,Taxi Affiliation Services,Unknown,0.0
0.5,420,5.75,Choice Taxi Association,Cash,0.0
1.05,878,9.0,Sun Taxi,Cash,0.0
1.03,861,9.0,Sun Taxi,Credit Card,33.3
4.72,3942,30.0,Star North Taxi Management Llc,Prcard,0.0
1.59,1327,11.75,Sun Taxi,Credit Card,25.5
1.4,1168,10.25,Chicago Independents,Cash,0.0
1.29,1075,9.0,Sun Taxi,Mobile,5.8
0.81,674,7.25,Flash Cab,Prcard,0.0
0.6,497,6.25,City Service,Cash,0.0
4.01,3314,28.0,Patriot Taxi Dba Peace Taxi Associat,Prcard,0.0
1.3,1072,10.0,Chicago Taxicab,Cash,0.0
0.57,470,6.0,Medallion Leasin,Credit Card,33.3
0.94,774,9.0,City Service,Mobile,17.2
1.97,1621,13.75,Sun Taxi,Credit Card,20.7
2.7,2220,17.25,Taxi Affiliation Services,Credit Card,31.6
0.56,460,6.0,Blue Ribbon Taxi Association,Credit Card,66.7
1.42,1166,10.5,City Service,Credit Card,20.8
1.9,1560,13.0,Taxi Affiliation Services,Credit Card,25.8
0.94,769,8.0,Flash Cab,Cash,0.0
1.43,1167,11.0,Flash Cab,Cash,0.0
2.71,2209,17.5,City Service,Cash,0.0
1.14,929,9.25,Medallion Leasin,Mobile,24.2
0.76,614,7.25,Sun Taxi,Cash,0.0
1.81,1461,12.5,City Service,Credit Card,25.9
1.66,1339,11.75,City Service,Cash,0.0
4.03,3250,26.25,Sun Taxi,Cash,0.0
1.25,1005,20.0,Flash Cab,Credit Card,20.5
4.39,3526,29.5,Patriot Taxi Dba Peace Taxi Associat,Prcard,0.0
2.15,1722,14.25,Flash Cab,Cash,0.0
0.6,480,6.25,Top Cab Affiliation,Credit Card,48.0
0.6,480,6.25,U Taxicab,Credit Card,16.0
0.6,480,6.0,Taxi Affiliation Services,Credit Card,50.0
0.6,480,6.25,Taxi Affiliation Services,Cash,0.0
0.9,720,7.75,Top Cab Affiliation,Cash,0.0
2.7,2160,16.75,Taxi Affiliation Services,Credit Card,20.6
4.27,3405,27.75,Flash Cab,Prcard,0.0
1.4,1116,10.5,Chicago Independents,Cash,0.0
1.61,1283,9.0,Flash Cab,Mobile,17.2
0.62,494,6.25,Flash Cab,Cash,0.0
2.71,2156,17.5,Flash Cab,Prcard,0.0
0.52,413,5.75,City Service,Credit Card,52.2
0.79,626,7.25,Sun Taxi,Prcard,0.0
0.51,404,5.75,Globe Taxi,Credit Card,17.4
1.64,1297,9.0,Sun Taxi,Mobile,22.9
1.42,1123,10.5,Flash Cab,Cash,0.0
2.08,1644,14.5,Flash Cab,Cash,0.0
0.5,395,60.87,Flash Cab,Cash,0.0
0.57,450,6.0,24 Seven Taxi,Credit Card,37.5
